Id,SystemId,Title,Genre, CoverURL, Upc
8662,NES,Bugs Bunny Crazy Castle,Action & Adventure
12114,NES,Bump 'n' Jump,Action & Adventure
12115,NES,Burai Fighter,Fighting
38006,NES,BurgerTime [5 Screw],Action & Adventure
12116,NES,Burgertime,Puzzle
12117,NES,Cabal,Action & Adventure
8683,NES,Caesar's Palace,Sports
12118,NES,California Games,Sports
8687,NES,California Raisins The Great Escape [Reproduction],Action & Adventure
14928,NES,Caltron 6-in-1,Action & Adventure
8695,NES,Captain America and the Avengers,Action & Adventure
8696,NES,Captain Planet and the Planeteers,Action & Adventure
12120,NES,Captain Skyhawk,Action & Adventure
12121,NES,Casino Kid,Other
8701,NES,Casino Kid II,Other
8702,NES,Castelian,Action & Adventure
12122,NES,Castle of Deceit,Action & Adventure
12123,NES,Castle of Dragon,Action & Adventure
12124,NES,Castlequest,Action & Adventure
8704,NES,Castlevania,Action & Adventure
11984,NES,Castlevania II Simon's Quest,Action & Adventure
8706,NES,Castlevania III Dracula's Curse,Action & Adventure
38007,NES,Castlevania [5 Screw],Action & Adventure
12126,NES,Caveman Games,Party
16130,NES,Challenge of the Dragon,Action & Adventure
8713,NES,Championship Bowling,Sports
8714,NES,Championship Pool,Sports
14927,NES,Cheetahmen II,Action & Adventure
8722,NES,Chessmaster,Strategy
8729,NES,Chiller,Action & Adventure
12127,NES,Chip and Dale Rescue Rangers,Action & Adventure
8730,NES,Chip and Dale Rescue Rangers 2,Action & Adventure
12128,NES,Chubby Cherub,Action & Adventure
12129,NES,Circus Caper,Action & Adventure
12130,NES,City Connection,Action & Adventure
12131,NES,Clash at Demonhead,Action & Adventure
12132,NES,Classic Concentration,Action & Adventure
38378,NES,Cleaning Kit,Accessories
8738,NES,Cliffhanger,Action & Adventure
12133,NES,Clu Clu Land,Action & Adventure
12134,NES,Cobra Command,Action & Adventure
8743,NES,Cobra Triangle,Action & Adventure
8747,NES,Code Name Viper,Action & Adventure
8753,NES,Color A Dinosaur,Other
12135,NES,Commando,Action & Adventure
37997,NES,Commando [5 Screw],Other
12136,NES,Conan the Mysteries of Time,Action & Adventure
12137,NES,Conflict,Action & Adventure
12138,NES,Conquest of the Crystal Palace,Action & Adventure
12139,NES,Contra,Action & Adventure
12140,NES,Contra Force,Action & Adventure
37258,NES,Control Deck Test Cartridge,Other
8764,NES,Cool World,Action & Adventure
12142,NES,Cowboy Kid,Action & Adventure
12143,NES,Crash 'n' the Boys: Street Challenge,Action & Adventure
8786,NES,Crystal Mines,Action & Adventure
12144,NES,Crystalis,Action & Adventure
8794,NES,Cyberball,Sports
8796,NES,Cybernoid The Fighting Machine,Action & Adventure
12145,NES,Cyberstadium Series Base Wars,Sports
8801,NES,Dance Aerobics,Other
8804,NES,Danny Sullivan's Indy Heat,Racing
8808,NES,Darkman,Action & Adventure
8810,NES,Darkwing Duck,Action & Adventure
12146,NES,Dash Galaxy in the Alien Asylum,Action & Adventure
8817,NES,Day Dreamin' Davey,Action & Adventure
8818,NES,Days Of Thunder,Racing
12147,NES,Deadly Towers,Action & Adventure
38022,NES,Deadly Towers [5 Screw],Action & Adventure
12148,NES,Death Race,Racing
12149,NES,Deathbots,Action & Adventure
12150,NES,Defender II,Action & Adventure
12151,NES,Defender of the Crown,Action & Adventure
8836,NES,Defenders of Dynatron City,Action & Adventure
12152,NES,Deja Vu,Action & Adventure
12153,NES,Demon Sword,Action & Adventure
12154,NES,Desert Commander,Action & Adventure
12155,NES,Destination Earthstar,Other
12156,NES,Destiny of an Emperor,Action & Adventure
12157,NES,Dick Tracy,Action & Adventure
